name,type,serve_with,category,style,course,image,cuisine
Beef Biryani,nonveg,rice,rice-dish,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/%22Hyderabadi_Dum_Biryani%22.jpg/960px-%22Hyderabadi_Dum_Biryani%22.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Chicken Pulao,nonveg,rice,rice-dish,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/%22Hyderabadi_Dum_Biryani%22.jpg/960px-%22Hyderabadi_Dum_Biryani%22.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Mutton Pulao,nonveg,rice,rice-dish,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/%22Hyderabadi_Dum_Biryani%22.jpg/960px-%22Hyderabadi_Dum_Biryani%22.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Kabuli Pulao,nonveg,rice,rice-dish,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/%22Hyderabadi_Dum_Biryani%22.jpg/960px-%22Hyderabadi_Dum_Biryani%22.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Keema Matar,nonveg,both,curry,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/%22Hyderabadi_Dum_Biryani%22.jpg/960px-%22Hyderabadi_Dum_Biryani%22.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Keema Aloo,nonveg,both,curry,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/%22Hyderabadi_Dum_Biryani%22.jpg/960px-%22Hyderabadi_Dum_Biryani%22.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Kofta Curry,nonveg,both,curry,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/38/Koofteh_tabrizi.jpg/960px-Koofteh_tabrizi.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Chicken Cutlets,nonveg,none,snack,rich,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e4/Cutlet.jpg/960px-Cutlet.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Masoor Daal,veg,both,lentil,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f5/3_types_of_lentil.png/960px-3_types_of_lentil.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Chana Daal,veg,both,lentil,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8e/Chana_masala.jpg/960px-Chana_masala.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Moong Daal,veg,both,lentil,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f5/3_types_of_lentil.png/960px-3_types_of_lentil.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Daal Makhani,veg,both,lentil,rich,main,https://upload.wikimedia.org/wikipedia/commons/f/f8/Dal_Makhani.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,desi
Mash ki Daal,veg,both,lentil,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f5/3_types_of_lentil.png/960px-3_types_of_lentil.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Sabz Daal,veg,both,lentil,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f5/3_types_of_lentil.png/960px-3_types_of_lentil.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Aloo Gobi,veg,roti,sabzi,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a9/Aloo_Ghobi.jpg/960px-Aloo_Ghobi.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Bhindi Masala,veg,roti,sabzi,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a9/Aloo_Ghobi.jpg/960px-Aloo_Ghobi.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Baingan Bharta,veg,roti,sabzi,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a9/Aloo_Ghobi.jpg/960px-Aloo_Ghobi.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Palak Paneer,veg,roti,sabzi,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b7/Palakpaneer_Rayagada_Odisha_0009.jpg/960px-Palakpaneer_Rayagada_Odisha_0009.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Aloo Palak,veg,roti,sabzi,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b7/Palakpaneer_Rayagada_Odisha_0009.jpg/960px-Palakpaneer_Rayagada_Odisha_0009.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Karele,veg,roti,sabzi,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a9/Aloo_Ghobi.jpg/960px-Aloo_Ghobi.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Tinday,veg,roti,sabzi,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a9/Aloo_Ghobi.jpg/960px-Aloo_Ghobi.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Aloo Matar,veg,roti,sabzi,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a9/Aloo_Ghobi.jpg/960px-Aloo_Ghobi.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Shalgam,veg,roti,sabzi,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a9/Aloo_Ghobi.jpg/960px-Aloo_Ghobi.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Mixed Vegetable Curry,veg,both,sabzi,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a9/Aloo_Ghobi.jpg/960px-Aloo_Ghobi.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Chana Masala,veg,both,curry,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8e/Chana_masala.jpg/960px-Chana_masala.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Rajma,veg,both,curry,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8e/Chana_masala.jpg/960px-Chana_masala.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Paneer Karahi,veg,roti,karahi,rich,main,https://upload.wikimedia.org/wikipedia/commons/b/b4/Paneertikkaindia.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,desi
Paneer Tikka,veg,roti,bbq,light,side,https://upload.wikimedia.org/wikipedia/commons/b/b4/Paneertikkaindia.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,desi
Shahi Paneer,veg,roti,curry,rich,main,https://upload.wikimedia.org/wikipedia/commons/b/b4/Paneertikkaindia.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,desi
Vegetable Pulao,veg,rice,rice-dish,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/%22Hyderabadi_Dum_Biryani%22.jpg/960px-%22Hyderabadi_Dum_Biryani%22.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Khichdi,veg,rice,rice-dish,light,main,https://upload.wikimedia.org/wikipedia/commons/6/63/Dall_Khichdi.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,desi
Vegetable Biryani,veg,rice,rice-dish,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/%22Hyderabadi_Dum_Biryani%22.jpg/960px-%22Hyderabadi_Dum_Biryani%22.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Aloo Paratha,veg,none,breakfast,rich,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1e/Triangle_paratha_%28cropped%29.JPG/960px-Triangle_paratha_%28cropped%29.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Chana Chaat,veg,none,snack,light,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8e/Chana_masala.jpg/960px-Chana_masala.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Fries,veg,none,snack,rich,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/42/French_fries.jpg/960px-French_fries.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,continental
Loaded Fries,nonveg,none,snack,rich,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/42/French_fries.jpg/960px-French_fries.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,continental
Samosa,veg,none,snack,rich,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c4/Samosas%2C_snack_food_at_Wikipedia%27s_16th_Birthday_celebration_in_Chittagong_%2801%29.jpg/960px-Samosas%2C_snack_food_at_Wikipedia%27s_16th_Birthday_celebration_in_Chittagong_%2801%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Sheer Khurma,veg,none,sweet,rich,dessert,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/46/Kheer.jpg/960px-Kheer.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Kheer,veg,none,sweet,rich,dessert,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/46/Kheer.jpg/960px-Kheer.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Chicken White Karahi,nonveg,roti,karahi,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/be/Punjabi_Chicken_Karahi.JPG/960px-Punjabi_Chicken_Karahi.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Mutton Shinwari Karahi,nonveg,roti,karahi,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/be/Punjabi_Chicken_Karahi.JPG/960px-Punjabi_Chicken_Karahi.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Kunna Gosht,nonveg,both,specialty,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4b/Nalli_Nihari_India.jpg/960px-Nalli_Nihari_India.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Beef Shami Kebab,nonveg,roti,bbq,rich,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/33/Chapli_Kebab.jpg/960px-Chapli_Kebab.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Chicken Shawarma,nonveg,none,quick,light,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/00/Shawarma_2.jpg/960px-Shawarma_2.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,continental
Chicken Paratha Roll,nonveg,none,quick,rich,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/00/Shawarma_2.jpg/960px-Shawarma_2.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Kashmiri Chai,veg,none,sweet,light,dessert,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/46/Kheer.jpg/960px-Kheer.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Matar Paneer,veg,roti,sabzi,rich,main,https://upload.wikimedia.org/wikipedia/commons/b/b4/Paneertikkaindia.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,desi
Kadhi Pakora,veg,rice,curry,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/67/Kadhi_Pakora.jpg/960px-Kadhi_Pakora.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Mooli Paratha,veg,none,breakfast,rich,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1e/Triangle_paratha_%28cropped%29.JPG/960px-Triangle_paratha_%28cropped%29.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Halwa Puri,veg,none,breakfast,rich,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9e/Chole_Bhature_from_Nagpur.JPG/960px-Chole_Bhature_from_Nagpur.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Suji ka Halwa,veg,none,sweet,rich,dessert,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9e/Chole_Bhature_from_Nagpur.JPG/960px-Chole_Bhature_from_Nagpur.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Gajar ka Halwa,veg,none,sweet,rich,dessert,https://upload.wikimedia.org/wikipedia/commons/c/cb/Cuisine_%28268%29_44.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,desi
Shahi Tukray,veg,none,sweet,rich,dessert,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/46/Kheer.jpg/960px-Kheer.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Ras Malai,veg,none,sweet,rich,dessert,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ae/Ras_Malai_2.JPG/960px-Ras_Malai_2.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Gol Gappey,veg,none,snack,light,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e9/Pani_Puri1.JPG/960px-Pani_Puri1.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Dahi Bhallay,veg,none,snack,light,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/96/Sev_puri_with_sweet_curd.JPG/960px-Sev_puri_with_sweet_curd.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Pakoras,veg,none,snack,rich,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cf/Onion_pakora_-_a.jpg/960px-Onion_pakora_-_a.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Zeera Rice,veg,rice,rice-dish,light,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/%22Hyderabadi_Dum_Biryani%22.jpg/960px-%22Hyderabadi_Dum_Biryani%22.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Kashmiri Pulao,veg,rice,rice-dish,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/%22Hyderabadi_Dum_Biryani%22.jpg/960px-%22Hyderabadi_Dum_Biryani%22.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Daal Chawal,veg,both,lentil,light,main,https://upload.wikimedia.org/wikipedia/commons/6/63/Dall_Khichdi.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,desi
Sarson ka Saag,veg,roti,sabzi,light,main,https://upload.wikimedia.org/wikipedia/commons/c/c8/Saagroti.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,desi
Bhindi Karahi,veg,roti,karahi,light,side,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a9/Aloo_Ghobi.jpg/960px-Aloo_Ghobi.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Dum Pukht,nonveg,both,specialty,rich,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4b/Nalli_Nihari_India.jpg/960px-Nalli_Nihari_India.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
Chicken Ginger,nonveg,both,curry,light,main,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a8/Chicken_Korma.JPG/960px-Chicken_Korma.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,desi
